GeneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sesn1	530.977324345791	-1.77866165258428	0.226677909542202	-7.84664750163108	4.2730610966855e-15	1.22684331931504e-12
Serpina3g	1009.19734612851	-2.54349384406051	0.33098361175856	-7.68465190933952	1.53413542246458e-14	4.28562803421456e-12
Zfp318	157.500178179522	-2.86258907399493	0.373481647060533	-7.66460439629305	1.79383248230257e-14	4.879224351863e-12
Scml4	65.270353484744	-2.97399127371929	0.393120108035423	-7.56509578861662	3.87578894119343e-14	1.02718344861988e-11
Tcn2	55.3706793851533	-3.0179670957872	0.399377433098015	-7.55667908518641	4.13490460744155e-14	1.0684593505629e-11
Bach2	2250.22114608096	1.04877532805563	0.139174960646779	7.53566103544576	4.8586717802744e-14	1.21566750467654e-11
Snn	1394.15464493702	-1.42483845613249	0.189133679784484	-7.53349936275805	4.93982538665004e-14	1.21566750467654e-11
S100a6	327.514908084163	-2.98483589092585	0.400015471931225	-7.46180110613081	8.53476546271283e-14	2.05151943773488e-11
Plbd1	267.614852517878	-2.47955396955783	0.336763657693178	-7.36289059972417	1.79969861950369e-13	4.22765566617958e-11
Emp3	587.900337064648	-1.88050576722011	0.256823156990883	-7.32218149349698	2.43971872791733e-13	5.60376283816744e-11
Zmynd11	227.244281449501	-2.61562082051157	0.357554235248147	-7.31531209159443	2.56783880693888e-13	5.76982215402613e-11
Gbp6	87.1375411813441	-2.91635056189131	0.400814637842652	-7.27605802419867	3.43715797307604e-13	7.55882229993914e-11
Kctd12	195.540098791599	-2.4442660664461	0.336968127449979	-7.25370106942515	4.0553462021196e-13	8.73251215523086e-11
Lpp	930.116182937465	1.41922152305237	0.19590764483226	7.24433966968228	4.34551120653957e-13	9.16636812873327e-11
H2-D1	9527.68886367785	-0.894657844010415	0.123822639773383	-7.22531716047884	4.99933684543471e-13	1.03346291268826e-10
Serpina3f	105.23076336568	-2.81328779697236	0.390276945656256	-7.20843961777391	5.65966580534523e-13	1.12878034556645e-10
Vim	2326.7417926652	-1.36773829666031	0.189753374982007	-7.20797876079942	5.67884848775693e-13	1.12878034556645e-10
Basp1	2680.61010978968	1.22533398777196	0.172158104613696	7.11749232208076	1.09908340124829e-12	2.14342000666081e-10
Serpinb1a	769.889906073862	-1.98907238257518	0.283615038405027	-7.01328248939541	2.32790755864252e-12	4.45578750483873e-10
Mfhas1	158.891675339175	-2.73519737432238	0.392440655902959	-6.96970951704535	3.17596062070847e-12	5.96849617738959e-10
Txnip	1440.10008320313	-1.14368526334577	0.164562116479132	-6.94986967727046	3.65623812300662e-12	6.7483709356065e-10
Sbk1	492.665671692307	-2.00872819536069	0.290290567987579	-6.91971568103666	4.5255099277554e-12	8.20625800232979e-10
Cybasc3	1092.66958295464	-1.38768601734997	0.201953738002121	-6.87130642432277	6.36165751512487e-12	1.13369124269536e-09
S1pr2	2446.71364722875	1.16524009123401	0.169648922155316	6.86853813410744	6.48631356349510e-12	1.13631418630992e-09
Esyt1	752.96619927539	-1.29028193307648	0.188131844015942	-6.85839199538777	6.96399515669897e-12	1.19966423232734e-09
H2-K1	4774.21951216595	-1.17352798435607	0.172340119832071	-6.8093719877853	9.80257132829495e-12	1.64360060527273e-09
Ms4a4c	732.703621079218	-1.57278131075342	0.23100108137648	-6.80854523009845	9.85905935825363e-12	1.64360060527273e-09
Ckap4	122.890276498665	-2.67935630637222	0.394108549280903	-6.79852368404852	1.05696639144771e-11	1.7340959717466e-09
Mcm6	2237.6156537969	0.924079796404121	0.13598004614467	6.79570144740933	1.07786786707645e-11	1.74075660532847e-09
Tbc1d9	28.8786429979969	-2.6898708792827	0.404749248463257	-6.64577115212825	3.01633609029175e-11	4.79643843527008e-09
